Real,Predicho,Probabilidad_Clase_1
0.0,0.0,1.1852889720331482e-05
0.0,0.0,0.00022971959696553004
0.0,0.0,5.413946957036136e-09
1.0,0.0,0.013455475532668808
0.0,0.0,0.0083365488400035
0.0,0.0,2.7678272321133445e-14
0.0,0.0,0.0002938319135542581
0.0,0.0,0.0007102287953764854
0.0,0.0,0.0014341175430536588
0.0,0.0,0.012447038750932952
0.0,0.0,1.8875840478782133e-06
0.0,0.0,2.1754164161344431e-07
0.0,0.0,6.978188955788707e-10
0.0,0.0,9.071385501652153e-05
0.0,0.0,6.254109479957388e-05
0.0,0.0,5.4570254354158385e-08
0.0,0.0,0.00043130363339097244
0.0,0.0,1.424303254392013e-07
0.0,0.0,2.101492609043085e-08
0.0,0.0,3.435380041450255e-08
0.0,1.0,0.9999997874885284
0.0,0.0,3.020518120171306e-10
0.0,1.0,0.928500780944475
0.0,0.0,0.30120197046955477
1.0,1.0,0.9934326618794228
0.0,0.0,0.004096863480885787
0.0,1.0,0.9978377642520297
0.0,0.0,2.3462283682415975e-08
0.0,0.0,0.028028898624443764
0.0,0.0,1.9665237190149083e-08
1.0,1.0,0.7920382538228113
0.0,0.0,1.4333310891828635e-06
0.0,0.0,1.50291020407218e-05
0.0,0.0,1.2194704758896111e-05
0.0,0.0,2.781920179464185e-07
0.0,0.0,0.22945224837232014
0.0,0.0,2.4095821596893338e-05
0.0,0.0,2.2825793882895914e-08
0.0,0.0,5.163568018378069e-11
1.0,0.0,0.3116232557323272
0.0,0.0,0.004627519322213211
0.0,0.0,2.4049038850949724e-06
0.0,0.0,0.12219212771969391
0.0,0.0,3.914116281609394e-05
0.0,0.0,0.0143603862780732
0.0,0.0,6.858212945904704e-05
0.0,0.0,1.763259379235055e-15
0.0,1.0,0.9874799035104618
0.0,0.0,2.8644959312884757e-06
0.0,0.0,0.0035509592098602718
0.0,0.0,5.70148696793315e-07
1.0,0.0,4.323474881391522e-05
0.0,0.0,1.6059728837025861e-09
0.0,0.0,0.00027080996047434757
0.0,0.0,4.538331938183377e-06
0.0,0.0,2.126378634105121e-05
0.0,0.0,1.4158357425833014e-08
0.0,0.0,1.33524608414268e-06
0.0,0.0,0.007495532497560204
0.0,0.0,1.668210301895582e-05
0.0,0.0,2.5944050933564194e-06
0.0,0.0,0.021993901498611603
0.0,0.0,0.061471325064044624
0.0,0.0,0.00582430215795929
0.0,0.0,0.0005062032525062168
0.0,0.0,0.0001530503723100146
0.0,0.0,0.33532607493913524
0.0,0.0,0.00019039083882827702
0.0,0.0,0.0028295130701545515
1.0,0.0,0.1576712481232335
0.0,0.0,7.661157815857897e-06
0.0,0.0,0.09832020039469058
0.0,0.0,0.47293286866862133
1.0,0.0,0.1227001800738989
0.0,0.0,2.542905383979658e-09
1.0,1.0,0.9988213556948752
0.0,0.0,0.4369381497095316
0.0,0.0,6.242401462317933e-08
1.0,1.0,0.999999996092702
0.0,0.0,3.5380268375007453e-09
0.0,0.0,2.2289847273613875e-05
0.0,0.0,5.264724503835001e-09
0.0,0.0,5.515279237315384e-11
0.0,0.0,7.649655837552991e-10
0.0,0.0,3.3044892344542893e-05
0.0,0.0,4.113110443044888e-07
0.0,0.0,0.08556981829366832
1.0,1.0,0.9373580710058815
1.0,0.0,1.990117951260393e-08
0.0,0.0,0.0017545060845114914
0.0,0.0,0.10298691961253656
1.0,1.0,0.9998499519045562
0.0,0.0,0.0006471342803439108
0.0,0.0,4.582629509620086e-09
0.0,0.0,1.9627990676364116e-07
0.0,0.0,0.16086949736377915
0.0,0.0,5.591518002506706e-06
0.0,0.0,8.836035755315324e-14
0.0,0.0,2.249561011370815e-05
0.0,0.0,2.966963930880722e-12
0.0,0.0,0.00020048226483384806
0.0,0.0,3.620217008185577e-05
0.0,0.0,4.786597901698055e-08
1.0,0.0,1.8758711286193056e-09
0.0,0.0,7.67045833133901e-09
0.0,0.0,8.026471816946167e-07
0.0,0.0,1.5883715080602275e-06
0.0,0.0,0.02943125354645836
0.0,0.0,0.004513056770822522
0.0,0.0,2.074419700077238e-17
0.0,1.0,0.5392347781342993
0.0,0.0,0.006825400407208511
0.0,0.0,0.011583731863684051
0.0,0.0,1.2000777338194855e-09
0.0,0.0,1.0432234359378853e-06
0.0,0.0,7.574364497397252e-08
1.0,1.0,0.5140152567942027
0.0,0.0,1.3148047402625307e-12
0.0,0.0,0.20061279356016398
0.0,0.0,0.003412692381032217
0.0,0.0,0.11926529657787739
0.0,0.0,6.735122158471529e-06
1.0,1.0,0.9998532893113263
0.0,0.0,8.290056722337355e-05
0.0,0.0,9.454139164147306e-06
0.0,0.0,0.0024896766095970045
0.0,0.0,8.642904480461438e-08
0.0,0.0,0.0007743942982692931
0.0,0.0,3.4885115792820884e-08
0.0,0.0,3.060314946515945e-06
0.0,0.0,1.5645056153844823e-16
0.0,0.0,0.012418815194274107
1.0,1.0,0.9997741775774565
1.0,0.0,0.05617963402193554
0.0,0.0,6.971226272530463e-07
0.0,0.0,8.502294818358988e-07
0.0,0.0,2.282724388158923e-07
0.0,0.0,1.266335565840877e-09
0.0,1.0,0.8252630925902525
0.0,0.0,0.0010979938148779934
0.0,0.0,1.7681798050632702e-07
0.0,0.0,0.02605777809119773
0.0,0.0,1.0284378249036466e-09
0.0,0.0,0.006090252057290215
1.0,0.0,0.000362092077511811
0.0,0.0,0.032721809881749095
0.0,0.0,7.253007646294293e-09
1.0,1.0,0.9999898717132913
0.0,0.0,1.8651369823583314e-06
0.0,0.0,0.00035010032282186185
0.0,0.0,0.0002239623091789714
0.0,0.0,2.4730041797637277e-05
0.0,0.0,9.949810650763777e-05
0.0,0.0,8.30732410213082e-06
0.0,0.0,2.0233198588519145e-07
0.0,0.0,0.0002442923349337096
1.0,0.0,0.29877336502346225
0.0,0.0,0.012581103730273376
1.0,1.0,0.99998994019444
0.0,0.0,7.317380446594308e-07
0.0,0.0,2.6160550741666713e-07
0.0,0.0,1.620821260827425e-08
0.0,0.0,0.0017206103965154665
0.0,0.0,0.00010186307422464947
1.0,1.0,0.993464399002499
0.0,0.0,3.286714678288711e-09
